RANK,CITY,POPULATION,POPULATION GROWTH 2008 TO 2013,UNEMPLOYMENT RATE (%),AVERAGE HOUSEHOLD INCOME,AVERAGE DISCRETIONARY INCOME,AVERAGE HOUSEHOLD NET WORTH,AVERAGE HOUSE PRICES,AVERAGE YEARS TO BUY A HOME,PROPERTY TAX (%),AVERAGE PROPERTY TAX,PROPERTY TAX AS A OF AVERAGE HOUSEHOLD INCOME,SALES TAX,INCOME TAX ($),NEW CARS,NEW LUXURY CARS,WALK TO WORK (%),BIKE TO WORK (%),TAKE PUBLIC TRANSIT TO WORK (%),TOTAL RAINFALL (mm),DAYS PER YEAR WITH PRECIPITATION,DAYS PER YEAR WITH RAIN,DAYS ABOVE 0C,DAYS ABOVE 20C,DAYS BELOW MINUS 20C,MEAN DAILY TEMP.,DAYS ABOVE 24C,FIVE-YEAR CHANGE IN CRIME RATE,"CRIME RATE PER 100,000",CRIME SEVERITY INDEX,VIOLENT CRIME SEVERITY INDEX,NUMBER OF MEDICAL OFFICES PER '000,EMPLOYED IN HEALH CARE (%),DOCTORS PER '000,EMPLOYED IN ARTS & REC (%)
85,"Steinbach, Man",15468,0.305,5.5,70877.27,34477.11,259476,278601,3.93,2.02,1462,0.0206,0.13,11036,0.1037,0.0029,10.03,2.94,0.53,473.44,111.06,75.52,165.5,106.62,50.82,2.8,7.33,-0.1657,7602.56,72.95,67.7,1.49,4.9,2.69,1.66
86,"Okotoks, Alta.",27506,0.307,5.8,111090.58,53703.2,533901,371821,3.35,2.58,2904,0.0261,0.05,9474,0.1836,0.0138,3.99,0.83,3.24,372.6,110.67,70.44,168.8,95.3,21.16,4.59,0.26,-0.1487,7281.72,59.39,39.54,0.51,4.01,1.2,2.34
86,"RiviŠre-du-Loup, Que.",28650,0.066,5.3,64128.9,30324.48,216883,199872,3.12,2.28,1461,0.0228,0.1498,11302,0.181,0.0075,8.84,0.37,0.31,695.61,182.73,122.79,184.2,69.59,20.01,3.46,1.26,0.7172,4495.36,47.07,31.45,1.05,4.8,3.25,1.03
88,"North Battleford, Sask.",19847,0.053,6.2,70616.38,35220.36,246228,215068,3.05,1.8,1309,0.0185,0.1,10195,0.128,0.003,7.54,1.26,0.29,292.64,108.35,65.26,161.7,96.23,46.65,2.09,3.95,0.1296,44384.19,352.39,271.4,1.26,5.18,2.72,1.28
89,"Saint John, N.B.",131560,0.043,8.6,76251.96,38606.41,217369,182463,2.39,2.04,1567,0.0206,0.13,10725,0.2032,0.0056,6.85,0.23,4.13,1075.96,157.9,122.06,198,74.52,14.12,5.17,0.07,-0.196,8898.84,95.38,102.87,1.09,4.47,2.83,1.17
90,"Collingwood, Ont.",21180,0.136,8,79590.81,38896.77,526686,373260,4.69,2.55,2058,0.0259,0.13,8694,0.1856,0.0176,8.15,3.15,0.45,725.26,163.02,116.9,216.3,101.19,4.55,7.04,14.8,-0.2062,6881.62,55.59,54.19,1.61,3.75,2.64,1.78
91,"Peterborough, Ont.",125121,0.034,8.5,77636.56,38894.3,366021,282462,3.64,2.46,1908,0.0246,0.13,8694,0.1604,0.0066,7.62,2.18,2.24,712.54,160.25,119.97,195,117.2,17.08,6.22,6.84,-0.1616,5978.77,74.26,88.36,1.46,4.18,2.29,1.59
92,"Kelowna, B.C.",192947,0.102,8.1,76707.78,35110.49,576411,444632,5.8,2.17,1701,0.0222,0.12,8611,0.124,0.0136,4.08,2.09,2.62,311.28,136.64,107.8,215,123.46,2.94,8.12,3.69,-0.1487,11857.2,117.92,97.1,1.46,3.72,2.28,1.82
93,"Yorkton, Sask.",18803,0.049,5.1,70989.37,34412.14,320402,298953,4.21,1.96,1439,0.0203,0.1,10195,0.138,0.0038,6.59,1.37,0.71,349.64,119.47,70.98,162.2,95.4,51.99,1.85,3.38,-0.2241,19863.69,165.56,150.62,1.17,4.82,2.29,2.17
94,"Corner Brook, Nfld.",27471,0.011,13.6,78999.4,42108.67,203627,171590,2.17,2.03,1628,0.0206,0.13,10198,0.2215,0.0026,7.54,0.28,0.78,884.52,405.55,145.17,401.9,130.49,6.45,10.28,1.26,0.0777,8268.26,66.62,52.96,1.49,4.51,4,1.33
